U.S. FIPS County Codes,,,
State,County Name,FIPS State,FIPS County
Illinois,Adams,17,001
Illinois,Alexander,17,003
Illinois,Bond,17,005
Illinois,Boone,17,007
Illinois,Brown,17,009
Illinois,Bureau,17,011
Illinois,Calhoun,17,013
Illinois,Carroll,17,015
Illinois,Cass,17,017
Illinois,Champaign,17,019
Illinois,Christian,17,021
Illinois,Clark,17,023
Illinois,Clay,17,025
Illinois,Clinton,17,027
Illinois,Coles,17,029
Illinois,Cook,17,031
Illinois,Crawford,17,033
Illinois,Cumberland,17,035
Illinois,De Kalb,17,037
Illinois,Dewitt,17,039
Illinois,Douglas,17,041
Illinois,Du Page,17,043
Illinois,Edgar,17,045
Illinois,Edwards,17,047
Illinois,Effingham,17,049
Illinois,Fayette,17,051
Illinois,Ford,17,053
Illinois,Franklin,17,055
Illinois,Fulton,17,057
Illinois,Gallatin,17,059
Illinois,Greene,17,061
Illinois,Grundy,17,063
Illinois,Hamilton,17,065
Illinois,Hancock,17,067
Illinois,Hardin,17,069
Illinois,Henderson,17,071
Illinois,Henry,17,073
Illinois,Iroquois,17,075
Illinois,Jackson,17,077
Illinois,Jasper,17,079
Illinois,Jefferson,17,081
Illinois,Jersey,17,083
Illinois,Jo Daviess,17,085
Illinois,Johnson,17,087
Illinois,Kane,17,089
Illinois,Kankakee,17,091
Illinois,Kendall,17,093
Illinois,Knox,17,095
Illinois,Lake,17,097
Illinois,La Salle,17,099
Illinois,Lawrence,17,101
Illinois,Lee,17,103
Illinois,Livingston,17,105
Illinois,Logan,17,107
Illinois,McDonough,17,109
Illinois,McHenry,17,111
Illinois,Mclean,17,113
Illinois,Macon,17,115
Illinois,Macoupin,17,117
Illinois,Madison,17,119
Illinois,Marion,17,121
Illinois,Marshall,17,123
Illinois,Mason,17,125
Illinois,Massac,17,127
Illinois,Menard,17,129
Illinois,Mercer,17,131
Illinois,Monroe,17,133
Illinois,Montgomery,17,135
Illinois,Morgan,17,137
Illinois,Moultrie,17,139
Illinois,Ogle,17,141
Illinois,Peoria,17,143
Illinois,Perry,17,145
Illinois,Piatt,17,147
Illinois,Pike,17,149
Illinois,Pope,17,151
Illinois,Pulaski,17,153
Illinois,Putnam,17,155
Illinois,Randolph,17,157
Illinois,Richland,17,159
Illinois,Rock Island,17,161
Illinois,St Clair,17,163
Illinois,Saline,17,165
Illinois,Sangamon,17,167
Illinois,Schuyler,17,169
Illinois,Scott,17,171
Illinois,Shelby,17,173
Illinois,Stark,17,175
Illinois,Stephenson,17,177
Illinois,Tazewell,17,179
Illinois,Union,17,181
Illinois,Vermilion,17,183
Illinois,Wabash,17,185
Illinois,Warren,17,187
Illinois,Washington,17,189
Illinois,Wayne,17,191
Illinois,White,17,193
Illinois,Whiteside,17,195
Illinois,Will,17,197
Illinois,Williamson,17,199
Illinois,Winnebago,17,201
Illinois,Woodford,17,203
